call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
655297	NULL	NULL	51.096	3.995	NULL	NULL	1-2	9160	Lokeren	België	2026-05-01 18:45:00	1	2026-05-01 16:54:38	2026-05-01 16:54:38
655299	168079	5	51.215	4.277	51.215	4.277	5-6	9120	Beveren	België	2026-05-01 18:30:00	1	2026-05-01 16:55:08	2026-05-01 17:08:32
655303	NULL	NULL	51.094	4.243	51.094	4.243	3-4	2880	Bornem	België	2026-05-01 17:00:00	0	2026-05-01 16:55:45	2026-05-01 16:55:45
655305	NULL	NULL	51.198	4.078	NULL	NULL	5-6	9170	SINT-GILLIS-WAAS	België	2026-05-01 19:30:00	0	2026-05-01 16:56:10	2026-05-01 16:56:10
655307	168071	14	51.093	4.148	51.093	4.148	3-4	9220	Hamme	België	2026-05-01 18:00:00	1	2026-05-01 16:56:24	2026-05-01 17:02:34
655309	NULL	NULL	51.058	4.116	51.058	4.116	5-6	9200	Dendermonde	België	2026-05-01 17:15:00	1	2026-05-01 16:57:25	2026-05-01 16:57:25
655310	168044	91	51.062	4.036	51.062	4.036	5-6	9240	Zele	België	2026-05-01 18:00:00	1	2026-05-01 16:58:06	2026-05-01 17:26:12
655314	NULL	NULL	50.998	4.15	50.998	4.15	1-2	9280	Lebbeke	België	2026-05-01 18:00:00	0	2026-05-01 16:58:54	2026-05-01 16:58:54
655316	NULL	NULL	51.087	3.991	51.087	3.991	1-2	9160	Lokeren	België	2026-05-01 18:00:00	1	2026-05-01 16:58:56	2026-05-01 16:58:56
655317	NULL	NULL	51.087	3.991	51.087	3.991	3-4	9160	Lokeren	België	2026-05-01 17:00:00	0	2026-05-01 16:58:58	2026-05-01 16:58:58
655329	168071	14	51.088	4.154	51.088	4.154	1-2	9220	Hamme	België	2026-05-01 18:00:00	1	2026-05-01 17:01:43	2026-05-01 17:13:32
655335	NULL	NULL	51.056	4.04	NULL	NULL	1-2	9240	Zele	België	2026-05-01 17:30:00	0	2026-05-01 17:02:45	2026-05-01 17:02:45
655336	168045	35	51.117	3.998	51.117	3.998	1-2	9160	Lokeren	België	2026-05-01 20:00:00	0	2026-05-01 17:03:04	2026-05-01 17:35:21
655338	NULL	NULL	51.07	4.029	51.07	4.029	1-2	9240	Zele	België	2026-05-01 18:00:00	0	2026-05-01 17:03:40	2026-05-01 17:03:40
655341	168044	91	51.062	4.034	51.062	4.034	3-4	9240	Zele	België	2026-05-01 17:30:00	1	2026-05-01 17:04:35	2026-05-01 17:33:47
655342	NULL	NULL	51.058	4.039	51.059	4.039	3-4	9240	Zele	België	2026-05-01 17:30:00	1	2026-05-01 17:04:40	2026-05-01 17:04:40
655343	NULL	NULL	51.161	4.15	51.161	4.15	10+	9100	Sint-Niklaas	België	2026-05-01 19:30:00	0	2026-05-01 17:04:43	2026-05-01 17:04:43
655345	168071	14	51.099	4.147	51.099	4.147	1-2	9220	Hamme	België	2026-05-01 19:00:00	0	2026-05-01 17:04:53	2026-05-01 17:48:40
655347	NULL	NULL	51.219	4.257	51.218	4.257	1-2	9120	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 17:45:00	0	2026-05-01 17:05:33	2026-05-01 17:05:33
655349	NULL	NULL	51.061	4.035	51.061	4.035	1-2	9240	Zele	België	2026-05-01 17:30:00	1	2026-05-01 17:05:35	2026-05-01 17:05:35
655350	NULL	NULL	51.107	4.268	51.107	4.268	1-2	2880	Bornem	België	2026-05-01 18:30:00	0	2026-05-01 17:05:48	2026-05-01 17:05:48
655351	168071	14	51.09	4.127	NULL	NULL	1-2	9220	Hamme	België	2026-05-01 19:00:00	0	2026-05-01 17:05:56	2026-05-01 18:40:04
655352	NULL	NULL	51.153	4.298	51.153	4.298	9-10	9150	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 18:15:00	0	2026-05-01 17:05:59	2026-05-01 17:05:59
655353	NULL	NULL	51.148	4.061	51.148	4.06	3-4	9112	Sint-Niklaas	België	2026-05-01 18:30:00	0	2026-05-01 17:06:17	2026-05-01 17:06:17
655355	NULL	NULL	51.065	4.243	51.065	4.243	7-8	2890	Puurs-Sint-Amands	België	2026-05-01 17:30:00	0	2026-05-01 17:06:24	2026-05-01 17:06:24
655364	NULL	NULL	51.158	4.144	NULL	NULL	5-6	9100	Sint-Niklaas	België	2026-05-01 17:30:00	0	2026-05-01 17:07:21	2026-05-01 17:07:21
655365	NULL	NULL	51.174	4.299	51.174	4.299	3-4	9150	Kruibeke	België	2026-05-01 19:30:00	0	2026-05-01 17:07:28	2026-05-01 17:07:28
655366	NULL	NULL	51.107	4.291	51.107	4.291	1-2	2880	Bornem	België	2026-05-01 19:00:00	0	2026-05-01 17:07:29	2026-05-01 17:07:29
655367	NULL	NULL	51.107	4.291	NULL	NULL	1-2	2880	Bornem	België	2026-05-01 19:00:00	0	2026-05-01 17:07:32	2026-05-01 17:07:32
655372	168045	35	51.118	4.002	51.118	4.002	9-10	9160	Lokeren	België	2026-05-01 17:30:00	0	2026-05-01 17:08:35	2026-05-01 17:19:53
655374	NULL	NULL	51.179	4.24	51.179	4.24	3-4	9120	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 18:15:00	0	2026-05-01 17:08:37	2026-05-01 17:08:37
655376	NULL	NULL	51.071	4.035	51.071	4.034	3-4	9240	Zele	België	2026-05-01 18:00:00	0	2026-05-01 17:09:08	2026-05-01 17:09:08
655381	NULL	NULL	51.09	4.251	51.09	4.251	1-2	2880	Bornem	België	2026-05-01 21:00:00	0	2026-05-01 17:10:18	2026-05-01 17:10:18
655385	NULL	NULL	51.058	4.116	51.058	4.116	5-6	9200	Dendermonde	België	2026-05-01 17:30:00	1	2026-05-01 17:11:04	2026-05-01 17:11:04
655386	NULL	NULL	51.096	3.988	51.096	3.988	7-8	9160	Lokeren	België	2026-05-01 17:45:00	1	2026-05-01 17:11:10	2026-05-01 17:11:10
655387	NULL	NULL	51.025	4.096	51.025	4.097	3-4	9200	Dendermonde	België	2026-05-01 19:00:00	0	2026-05-01 17:11:15	2026-05-01 17:11:15
655388	NULL	NULL	51.101	3.99	51.101	3.99	3-4	9160	Lokeren	België	2026-05-01 18:30:00	1	2026-05-01 17:11:22	2026-05-01 17:11:22
655390	NULL	NULL	51.003	4.13	51.003	4.13	5-6	9280	Lebbeke	België	2026-05-01 17:30:00	0	2026-05-01 17:11:32	2026-05-01 17:11:32
655391	NULL	NULL	51.154	4.301	51.154	4.301	7-8	9150	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 18:00:00	0	2026-05-01 17:11:54	2026-05-01 17:11:54
655392	NULL	NULL	51.126	4.107	51.126	4.107	7-8	9250	Waasmunster	België	2026-05-01 18:15:00	0	2026-05-01 17:12:09	2026-05-01 17:12:09
655394	NULL	NULL	51.09	4.011	51.09	4.011	3-4	9160	Lokeren	België	2026-05-01 18:30:00	0	2026-05-01 17:12:25	2026-05-01 17:12:25
655402	NULL	NULL	51.021	4.103	51.021	4.103	1-2	9200	Dendermonde	België	2026-05-01 18:30:00	0	2026-05-01 17:12:58	2026-05-01 17:12:59
655403	NULL	NULL	51.158	4.082	51.158	4.082	9-10	9111	Sint-Niklaas	België	2026-05-01 17:30:00	0	2026-05-01 17:13:01	2026-05-01 17:13:01
655405	NULL	NULL	51.065	4.243	NULL	NULL	5-6	2890	Oppuurs	Belgium	2026-05-01 18:15:00	0	2026-05-01 17:13:29	2026-05-01 17:13:29
655406	NULL	NULL	51.108	3.952	51.108	3.952	5-6	9160	Lokeren	België	2026-05-01 17:30:00	0	2026-05-01 17:13:35	2026-05-01 17:13:35
655409	168109	13	51.06	4.111	NULL	NULL	1-2	9200	Dendermonde	België	2026-05-01 18:15:00	1	2026-05-01 17:13:42	2026-05-01 17:52:12
655412	NULL	NULL	51.178	4.134	51.178	4.134	3-4	9100	Sint-Niklaas	België	2026-05-01 17:30:00	1	2026-05-01 17:14:28	2026-05-01 17:14:28
655413	NULL	NULL	51.026	4.123	51.025	4.123	9-10	9200	Dendermonde	België	2026-05-01 18:30:00	0	2026-05-01 17:14:41	2026-05-01 17:14:41
655415	NULL	NULL	51.19	4.101	51.19	4.101	5-6	9170	Sint-Gillis-Waas	België	2026-05-01 18:30:00	0	2026-05-01 17:15:05	2026-05-01 17:15:05
655416	NULL	NULL	51.019	4.105	51.019	4.105	1-2	9200	Dendermonde	België	2026-05-01 19:00:00	0	2026-05-01 17:15:13	2026-05-01 17:15:13
655420	NULL	NULL	51.087	3.991	51.087	3.991	3-4	9160	Lokeren	België	2026-05-01 18:15:00	0	2026-05-01 17:16:27	2026-05-01 17:16:27
655425	NULL	NULL	51.225	4.264	51.225	4.264	1-2	9120	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 19:00:00	0	2026-05-01 17:17:30	2026-05-01 17:17:30
655426	NULL	NULL	51.099	4.243	51.099	4.243	3-4	2880	Bornem	België	2026-05-01 18:00:00	0	2026-05-01 17:17:31	2026-05-01 17:17:31
655431	NULL	NULL	51.087	3.991	51.087	3.991	3-4	9160	Lokeren	België	2026-05-01 17:30:00	0	2026-05-01 17:18:32	2026-05-01 17:18:33
655437	NULL	NULL	51.087	3.991	51.087	3.991	1-2	9160	Lokeren	België	2026-05-01 17:30:00	1	2026-05-01 17:19:26	2026-05-01 17:19:26
655438	NULL	NULL	51.211	4.334	51.211	4.334	1-2	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 17:30:00	0	2026-05-01 17:19:28	2026-05-01 17:19:28
655440	NULL	NULL	51.221	4.19	51.221	4.19	5-6	9120	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 17:45:00	0	2026-05-01 17:19:39	2026-05-01 17:19:39
655441	NULL	NULL	51.183	4.134	51.183	4.134	1-2	9100	Sint-Niklaas	België	2026-05-01 18:00:00	1	2026-05-01 17:19:50	2026-05-01 17:19:50
655442	NULL	NULL	51.049	4.171	NULL	NULL	5-6	9220	Kastel	België	2026-05-01 18:00:00	0	2026-05-01 17:20:03	2026-05-01 17:20:03
655444	NULL	NULL	51.021	4.104	NULL	NULL	1-2	9200	Dendermonde	België	2026-05-01 19:00:00	0	2026-05-01 17:20:07	2026-05-01 17:20:07
655445	NULL	NULL	51.176	4.154	51.176	4.154	3-4	9100	Sint-Niklaas	België	2026-05-01 17:30:00	0	2026-05-01 17:20:19	2026-05-01 17:20:19
655448	NULL	NULL	51.154	4.148	51.154	4.148	3-4	9100	Sint-Niklaas	België	2026-05-01 19:00:00	0	2026-05-01 17:20:48	2026-05-01 17:20:48
655449	NULL	NULL	51.088	4.148	51.088	4.148	1-2	9220	Hamme	België	2026-05-01 17:45:00	1	2026-05-01 17:20:51	2026-05-01 17:20:51
655450	168087	11	51.033	4.139	51.033	4.139	3-4	9200	Dendermonde	België	2026-05-01 18:30:00	0	2026-05-01 17:20:52	2026-05-01 17:47:18
655451	NULL	NULL	51.02	4.093	NULL	NULL	1-2	9200	Dendermonde	België	2026-05-01 17:45:00	0	2026-05-01 17:20:54	2026-05-01 17:20:54
655453	NULL	NULL	51.161	4.305	NULL	NULL	1-2	9150	Kruibeke	Belgie	2026-05-01 17:30:00	0	2026-05-01 17:20:59	2026-05-01 17:20:59
655454	NULL	NULL	51.147	4.224	51.147	4.224	3-4	9140	Temse	België	2026-05-01 18:00:00	0	2026-05-01 17:21:01	2026-05-01 17:21:01
655455	NULL	NULL	51.063	4.036	51.063	4.036	1-2	9240	Zele	België	2026-05-01 17:30:00	1	2026-05-01 17:21:12	2026-05-01 17:21:12
655457	168045	35	51.115	3.997	51.115	3.997	3-4	9160	Lokeren	België	2026-05-01 18:00:00	0	2026-05-01 17:21:21	2026-05-01 17:34:20
655458	NULL	NULL	51.168	4.128	51.168	4.128	1-2	9100	Sint-Niklaas	België	2026-05-01 18:00:00	0	2026-05-01 17:21:29	2026-05-01 17:21:29
655459	NULL	NULL	51.059	4.033	51.059	4.033	1-2	9240	Zele	België	2026-05-01 18:45:00	1	2026-05-01 17:21:34	2026-05-01 17:21:34
655461	NULL	NULL	51.185	4.2	51.185	4.2	7-8	9100	Sint-Niklaas	België	2026-05-01 18:30:00	0	2026-05-01 17:21:52	2026-05-01 17:21:52
655463	NULL	NULL	51.012	4.065	51.012	4.065	1-2	9200	Dendermonde	België	2026-05-01 19:30:00	0	2026-05-01 17:21:58	2026-05-01 17:21:58
655464	NULL	NULL	51.147	4.224	51.147	4.224	1-2	9140	Temse	België	2026-05-01 18:30:00	0	2026-05-01 17:22:07	2026-05-01 17:22:07
655468	NULL	NULL	51.05	4.173	51.05	4.173	1-2	9220	Hamme	België	2026-05-01 18:15:00	0	2026-05-01 17:22:55	2026-05-01 17:22:55
655470	NULL	NULL	51.098	4.238	51.098	4.238	1-2	2880	Bornem	België	2026-05-01 19:00:00	0	2026-05-01 17:23:23	2026-05-01 17:23:23
655472	NULL	NULL	51.213	4.072	51.213	4.072	3-4	9190	Stekene	België	2026-05-01 21:59:00	0	2026-05-01 17:23:27	2026-05-01 17:23:27
655474	NULL	NULL	51.061	4.054	51.062	4.054	3-4	9240	Zele	België	2026-05-01 17:30:00	0	2026-05-01 17:23:36	2026-05-01 17:23:36
655476	NULL	NULL	51.217	4.264	NULL	NULL	3-4	9120	Beveren	België	2026-05-01 18:30:00	0	2026-05-01 17:23:39	2026-05-01 17:23:39
655481	168078	101	51.218	4.341	51.218	4.341	3-4	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 18:30:00	0	2026-05-01 17:24:15	2026-05-01 18:06:17
655485	NULL	NULL	51.205	4.196	51.205	4.196	5-6	9100	Sint-Niklaas	België	2026-05-01 17:30:00	0	2026-05-01 17:24:37	2026-05-01 17:24:37
655486	NULL	NULL	51.089	4.13	51.089	4.13	1-2	9220	Hamme	België	2026-05-01 17:30:00	0	2026-05-01 17:24:53	2026-05-01 17:24:53
