call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
656810	NULL	NULL	51.086	4.134	51.086	4.134	1-2	9220	Hamme	België	2026-05-02 15:30:00	0	2026-05-02 14:00:42	2026-05-02 14:00:42
656811	NULL	NULL	51.063	4.021	51.063	4.021	3-4	9240	Zele	België	2026-05-02 16:00:00	1	2026-05-02 14:00:48	2026-05-02 14:00:48
656815	NULL	NULL	51.145	4.299	51.145	4.299	1-2	9150	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 14:30:00	0	2026-05-02 14:03:26	2026-05-02 14:03:26
656817	168213	11	51.156	4.016	51.156	4.016	3-4	9112	Sint-Niklaas	België	2026-05-02 15:00:00	1	2026-05-02 14:04:13	2026-05-02 14:10:02
656818	168189	10	51.066	3.988	51.066	3.988	3-4	9240	Zele	België	2026-05-02 18:00:00	0	2026-05-02 14:04:28	2026-05-02 15:35:50
656820	NULL	NULL	51.018	4.112	51.018	4.112	3-4	9200	Dendermonde	België	2026-05-02 15:00:00	0	2026-05-02 14:05:58	2026-05-02 14:05:58
656821	168213	11	51.215	4.093	NULL	NULL	9-10	9170	Sint-Gillis-Waas	Belgium	2026-05-02 14:30:00	0	2026-05-02 14:07:39	2026-05-02 15:11:13
656825	NULL	NULL	51.109	4.011	51.109	4.011	1-2	9160	Lokeren	België	2026-05-02 14:30:00	0	2026-05-02 14:08:20	2026-05-02 14:08:20
656826	168213	11	51.156	4.016	51.156	4.016	3-4	9112	Sint-Niklaas	België	2026-05-02 15:00:00	0	2026-05-02 14:08:42	2026-05-02 14:10:59
656827	NULL	NULL	51.099	3.985	NULL	NULL	1-2	9160	Lokeren	België	2026-05-02 16:00:00	0	2026-05-02 14:08:57	2026-05-02 14:08:57
656828	NULL	NULL	51.063	4.021	51.063	4.021	3-4	9240	Zele	België	2026-05-02 16:00:00	1	2026-05-02 14:09:10	2026-05-02 14:09:10
